,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
9,31,41,.431,15.0,110.7,111.6,-0.94,2018,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2018,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2018,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2018,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2018,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2018,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2018,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2018,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2018,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2018,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2018,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2018,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2018,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2018,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2018,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2018,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2018,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2018,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2018,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2018,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2018,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2018,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2018,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2018,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2018,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2018,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2018,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2019,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2019,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2019,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2019,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2019,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2019,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2019,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2019,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2019,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2019,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2019,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2019,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2019,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2019,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2019,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2019,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2019,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2019,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2019,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2019,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2019,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2019,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2019,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2019,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2019,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2019,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2019,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2019,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2019,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2019,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2019,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2019,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2019,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2019,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2019,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2019,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2020,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2020,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2020,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2020,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2020,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2020,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2020,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2020,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2020,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2020,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2020,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2020,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2020,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2020,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2020,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2020,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2020,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2020,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2020,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2020,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2020,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2020,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2020,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2020,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2020,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2020,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2020,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2020,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2020,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2020,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2020,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2020,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2020,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2020,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2020,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2020,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2021,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2021,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2021,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2021,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2021,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2021,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2021,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2021,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2021,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2021,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2021,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2021,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2021,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2021,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2021,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2021,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2021,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2021,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2021,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2021,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2021,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2021,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2021,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2021,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2021,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2021,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2021,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2021,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2021,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2021,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2021,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2021,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2021,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2021,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2021,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2021,Houston Rockets
